Campo: campaign_id, Tipo: many2one
Campo: source_id, Tipo: many2one
Campo: medium_id, Tipo: many2one
Campo: review_ids, Tipo: one2many
Campo: to_validate_message, Tipo: html
Campo: validated, Tipo: boolean
Campo: validated_message, Tipo: html
Campo: need_validation, Tipo: boolean
Campo: rejected, Tipo: boolean
Campo: rejected_message, Tipo: html
Campo: reviewer_ids, Tipo: many2many
Campo: can_review, Tipo: boolean
Campo: has_comment, Tipo: boolean
Campo: next_review, Tipo: char
Campo: sequence_prefix, Tipo: char
Campo: sequence_number, Tipo: integer
Campo: activity_ids, Tipo: one2many
Campo: activity_state, Tipo: selection
Campo: activity_user_id, Tipo: many2one
Campo: activity_type_id, Tipo: many2one
Campo: activity_type_icon, Tipo: char
Campo: activity_date_deadline, Tipo: date
Campo: my_activity_date_deadline, Tipo: date
Campo: activity_summary, Tipo: char
Campo: activity_exception_decoration, Tipo: selection
Campo: activity_exception_icon, Tipo: char
Campo: activity_calendar_event_id, Tipo: many2one
Campo: message_is_follower, Tipo: boolean
Campo: message_follower_ids, Tipo: one2many
Campo: message_partner_ids, Tipo: many2many
Campo: message_ids, Tipo: one2many
Campo: has_message, Tipo: boolean
Campo: message_unread, Tipo: boolean
Campo: message_unread_counter, Tipo: integer
Campo: message_needaction, Tipo: boolean
Campo: message_needaction_counter, Tipo: integer
Campo: message_has_error, Tipo: boolean
Campo: message_has_error_counter, Tipo: integer
Campo: message_attachment_count, Tipo: integer
Campo: message_main_attachment_id, Tipo: many2one
Campo: website_message_ids, Tipo: one2many
Campo: message_has_sms_error, Tipo: boolean
Campo: access_url, Tipo: char
Campo: access_token, Tipo: char
Campo: access_warning, Tipo: text
Campo: name, Tipo: char
Campo: highest_name, Tipo: char
Campo: show_name_warning, Tipo: boolean
Campo: date, Tipo: date
Campo: ref, Tipo: char
Campo: narration, Tipo: html
Campo: state, Tipo: selection
Campo: posted_before, Tipo: boolean
Campo: move_type, Tipo: selection
Campo: type_name, Tipo: char
Campo: to_check, Tipo: boolean
Campo: journal_id, Tipo: many2one
Campo: suitable_journal_ids, Tipo: many2many
Campo: company_id, Tipo: many2one
Campo: company_currency_id, Tipo: many2one
Campo: currency_id, Tipo: many2one
Campo: line_ids, Tipo: one2many
Campo: partner_id, Tipo: many2one
Campo: commercial_partner_id, Tipo: many2one
Campo: country_code, Tipo: char
Campo: user_id, Tipo: many2one
Campo: is_move_sent, Tipo: boolean
Campo: partner_bank_id, Tipo: many2one
Campo: payment_reference, Tipo: char
Campo: payment_id, Tipo: many2one
Campo: statement_line_id, Tipo: many2one
Campo: statement_id, Tipo: many2one
Campo: amount_untaxed, Tipo: monetary
Campo: amount_tax, Tipo: monetary
Campo: amount_total, Tipo: monetary
Campo: amount_residual, Tipo: monetary
Campo: amount_untaxed_signed, Tipo: monetary
Campo: amount_tax_signed, Tipo: monetary
Campo: amount_total_signed, Tipo: monetary
Campo: amount_total_in_currency_signed, Tipo: monetary
Campo: amount_residual_signed, Tipo: monetary
Campo: tax_totals_json, Tipo: char
Campo: payment_state, Tipo: selection
Campo: tax_cash_basis_rec_id, Tipo: many2one
Campo: tax_cash_basis_origin_move_id, Tipo: many2one
Campo: tax_cash_basis_created_move_ids, Tipo: one2many
Campo: always_tax_exigible, Tipo: boolean
Campo: auto_post, Tipo: boolean
Campo: reversed_entry_id, Tipo: many2one
Campo: reversal_move_id, Tipo: one2many
Campo: fiscal_position_id, Tipo: many2one
Campo: invoice_user_id, Tipo: many2one
Campo: invoice_date, Tipo: date
Campo: invoice_date_due, Tipo: date
Campo: invoice_origin, Tipo: char
Campo: invoice_payment_term_id, Tipo: many2one
Campo: invoice_line_ids, Tipo: one2many
Campo: invoice_incoterm_id, Tipo: many2one
Campo: display_qr_code, Tipo: boolean
Campo: qr_code_method, Tipo: selection
